_date,ACWI-US,VLUE-US,MTUM-US,QUAL-US,MCHI-US,EWJ-US,EWY-US
4/01/2014,58.56,60.89,61.0455,56.88,45.35,45.44,62.29
4/02/2014,58.7,61.11,61.49,57.0296,45.47,45.84,62.3
4/03/2014,58.58,61.1,60.911,56.8102,45.37,45.6,62.34
4/04/2014,58.15,61.39,59.6,55.9364,44.99,45.4,62.32
4/07/2014,57.74,59.9496,58.83,55.4586,45.13,44.96,62.23
4/08/2014,57.94,59.939,59.0076,55.4901,45.68,44,63.26
4/09/2014,58.6,60.532,60.27,56.26,46.3,44.64,64.12
4/10/2014,57.48,59.52,58.422,55.2188,46.4,43.36,63.4
4/11/2014,57.04,58.9946,57.6614,54.54,45.89,43.2,63.48
4/14/2014,57.43,59.1,57.98,54.945,45.88,43.8,63.54
4/15/2014,57.42,59.74,58.5,55.4156,44.74,43.76,62.97
4/16/2014,58.12,60.25,59.3299,56.058,45.29,44.6,63.91
4/17/2014,58.295,60.54,59.57,56.17,45.43,44.72,63.69
4/21/2014,58.43,60.61,60,56.29,45.14,44.72,63.84
4/22/2014,58.65,60.95,60.49,56.602,44.89,44.4,63.846
4/23/2014,58.48,60.86,60.18,56.33,44.46,44.52,63.35
4/24/2014,58.52,60.86,59.97,56.38,44.45,44.36,63.46
4/25/2014,58.09,60.44,58.95,55.96,44.06,44.08,62.38
4/28/2014,58.26,60.6175,58.79,56.37,43.6,44.32,62.85
4/29/2014,58.64,60.96,59.2801,56.67,44.16,44.44,63.11
4/30/2014,58.83,61.0399,59.74,56.75,43.84,44.32,62.55
5/01/2014,58.8,61,59.88,56.83,43.91,44.88,62.86
5/02/2014,58.77,61.02,59.88,56.7,44.12,44.8,62.69
5/05/2014,58.77,60.66,60.32,56.96,43.72,44.68,62.56
5/06/2014,58.5,60.632,59.44,56.5,43.73,44.56,62.75
5/07/2014,58.73,60.965,59.423,56.46,43.59,44.36,62.42
5/08/2014,58.69,60.83,59.33,56.48,43.35,44.2,62.75
5/09/2014,58.75,60.6,59.6767,56.72,43.29,44.56,62.63
5/12/2014,59.24,61.49,60.67,57.3204,44.26,44.6,63.48
5/13/2014,59.32,61.64,60.739,57.42,44.45,45.2,64.17
5/14/2014,59.18,61.35,60.27,57.08,44.88,44.96,64.56
5/15/2014,58.81,60.598,59.6,56.486,44.74,44.52,64.21
5/16/2014,59.04,60.85,59.84,56.77,45.08,44.6,65.02
5/19/2014,59.11,61.13,60.37,56.971,44.94,44.68,65.25
5/20/2014,58.66,60.73,59.88,56.62,44.75,44.16,64.6
5/21/2014,59.14,61.1,60.6,57.02,45.26,44.68,65
5/22/2014,59.3,61.41,60.99,57.16,45.76,45.12,65.26
5/23/2014,59.49,61.5299,61.31,57.4479,45.81,45.56,65.07
5/27/2014,59.79,61.77,61.93,57.67,45.59,45.92,64.43
5/28/2014,59.68,61.816,61.97,57.6577,45.9,45.72,65.16
5/29/2014,60.01,61.979,62.21,57.8799,45.86,46.24,65.49
5/30/2014,60.01,62.25,62.17,58.07,45.86,46.32,64.63
6/02/2014,60.11,62.32,62.35,58.11,46.22,46.88,64.67
6/03/2014,60.25,62.335,62.23,57.98,46.66,46.8,64.79
6/04/2014,60.13,62.497,62.36,58.11,46.24,47.12,64.74
6/05/2014,60.52,62.59,62.6701,58.47,46.6,47.24,64.9
6/06/2014,60.84,63.184,62.82,58.7,46.39,47.24,65.39
6/09/2014,60.88,63.2501,62.76,58.749,46.81,47.2,65.27
6/10/2014,60.92,63.28,62.77,58.63,47.14,46.8,65.66
6/11/2014,60.6,63.0499,62.74,58.44,46.81,46.92,65.41
6/12/2014,60.38,62.8599,62.2099,57.88,46.79,47.08,65
6/13/2014,60.52,62.75,62.31,57.95,47.37,47.32,64.27
6/16/2014,60.5,62.89,62.3406,58.0495,47.24,47.32,64.39
6/17/2014,60.54,63.09,62.54,58.16,47.24,47.24,64.54
6/18/2014,61.04,63.5799,63.1392,58.33,47.47,47.88,64.74
6/19/2014,61.18,63.6092,63.16,58.49,47.05,48.72,64.52
6/20/2014,61.2,63.81,63.57,58.5697,46.98,48.76,63.61
6/23/2014,61.15,63.84,63.47,58.57,46.41,48.36,63.92
6/24/2014,60.73,63.38,63.09,58.2115,46.24,48.36,64.61
6/25/2014,60.04,63.23,63.33,58.25,45.86,48.2,64.55
6/26/2014,60.1,62.878,63.28,58.15,46.33,48.04,64.86
6/27/2014,60.22,63.08,63.337,58.28,46.45,47.92,64.97
6/30/2014,60.26,63.3,63.26,58.19,46.37,48.16,65.02
7/01/2014,60.72,63.65,63.81,58.81,46.7,49,65.54
7/02/2014,60.84,63.65,63.68,58.86,47.34,48.88,65.78
7/03/2014,61.14,64,64,59.19,47.81,48.72,65.95
7/07/2014,60.86,63.77,63.43,59.01,47.94,48.36,65.19
7/08/2014,60.36,63.452,62.92,58.7,47.67,48.2,64.82
7/09/2014,60.61,63.706,63.32,58.89,47.5,48.52,65.02
7/10/2014,60.2,63.435,63.11,58.55,47.21,47.68,64.54
7/11/2014,60.23,63.46,63.35,58.61,47.42,47.76,63.96
7/14/2014,60.59,63.74,63.66,58.98,47.96,48.32,64.35
7/15/2014,60.46,63.863,63.36,58.71,47.97,48.48,64.31
7/16/2014,60.78,64.0227,63.41,58.8,48.27,48.56,64.56
7/17/2014,60.01,63.65,62.53,58.1,47.57,48.24,63.92
7/18/2014,60.61,63.95,63.4515,58.86,47.89,48.48,64.75
7/21/2014,60.46,63.85,63.47,58.64,47.91,48.4,64.78
7/22/2014,60.75,64.1,63.9,59.05,48.81,48.56,65.55
7/23/2014,60.89,64.28,64.2,59.339,49.31,48.6,65.32
7/24/2014,60.92,64.33,64.41,59.17,49.78,48.36,65.17
7/25/2014,60.66,64,64.2,58.9,49.77,48.52,65.31
7/28/2014,60.75,63.89,64.09,59.11,50.57,48.8,66.14
7/29/2014,60.48,64.02,63.88,58.9,50.43,48.68,66.86
7/30/2014,60.51,63.7228,63.98,58.91,50.06,48.72,67.36
7/31/2014,59.39,62.79,62.6001,57.7499,49.49,48,66.1
8/01/2014,59.14,62.3258,62.6136,57.51,49.94,47.96,66.6
8/04/2014,59.56,62.605,63.09,57.88,50.48,48.04,66.61
8/05/2014,58.86,61.8501,62.38,57.445,49.96,47.28,65.61
8/06/2014,58.81,62.076,62.11,57.6,49.75,47.02,65.4
