_code,ticker,company_name,country,gics_sector,gics_industry_group,gics_industry,last_include,first_include
CNE100002RZ2,601360 C1 Equity,360 Security Technology Inc,CH,45,4510,451030,2024-05-31,2018-12-01
CNE1000010N2,002555 C2 Equity,37 Interactive Entertainment Network Technology Group Co Ltd,CH,50,5020,502020,2024-05-31,2018-06-01
KYG8875G1029,1530 HK Equity,3SBio Inc,CH,35,3520,352010,2024-02-29,2016-06-01
CNE1000042T2,688536 C1 Equity,3peak Inc,CH,45,4530,453010,2024-02-29,2022-12-01
US3168271043,JOBS UW Equity,51job Inc,CH,20,2020,202020,2022-05-31,2018-06-01
US31680Q1040,WUBA UN Equity,58.com Inc,CH,50,5020,502030,2020-08-31,2015-12-01
CNE100002RY5,3319 HK Equity,A-Living Smart City Services Co Ltd,CH,60,6020,602010,2022-11-30,2019-12-01
KYG2953R1149,2018 HK Equity,AAC Technologies Holdings Inc,CH,45,4520,452030,2024-05-31,2014-03-01
CNE100004ZD8,688082 C1 Equity,ACM Research Shanghai Inc,CH,45,4530,453010,2024-05-31,2023-12-01
CNE000000RM5,000738 C2 Equity,AECC Aero-Engine Control Co Ltd,CH,20,2010,201010,2024-05-31,2019-12-01
CNE000000JW1,600893 C1 Equity,AECC Aviation Power Co Ltd,CH,20,2010,201010,2024-05-31,2018-06-01
CNE1000051B1,603529 C1 Equity,AIMA Technology Group Co Ltd,CH,25,2510,251020,2024-05-31,2023-06-01
KYG020141019,1789 HK Equity,AK Medical Holdings Ltd,CH,35,3510,351010,2021-05-31,2020-06-01
KYG040111059,2020 HK Equity,ANTA Sports Products Ltd,CH,25,2520,252030,2024-05-31,2014-03-01
CNE100005RF7,688220 C1 Equity,ASR Microelectronics Co Ltd,CH,45,4530,453010,2024-05-31,2023-06-01
CNE0000018C0,600372 C1 Equity,AVIC Airborne Systems Co Ltd,CH,20,2010,201010,2021-08-31,2018-06-01
CNE000001JY5,002013 C2 Equity,AVIC Electromechanical Systems Co Ltd,CH,20,2010,201010,2023-02-28,2019-12-01
